category_list,main_sector
MECHANICAL SOLUTIONS,Cleantech / Semiconductors
MEDIA,Entertainment
MEDICAL,Health
MEDICAL DEVICES,Health
MEDICAL PROFESSIONALS,Health
MEETING SOFTWARE,"News, Search and Messaging"
MENS SPECIFIC,Health
MESSAGING,"News, Search and Messaging"
MHEALTH,Health
MICRO-ENTERPRISES,Others
MICROBLOGGING,"News, Search and Messaging"
MINERALS,Cleantech / Semiconductors
MINING TECHNOLOGIES,Cleantech / Semiconductors
MOBILE,"News, Search and Messaging"
MOBILE ADVERTISING,"Social, Finance, Analytics, Advertising"
MOBILE ANALYTICS,"Social, Finance, Analytics, Advertising"
MOBILE COMMERCE,"Social, Finance, Analytics, Advertising"
MOBILE DEVICES,"News, Search and Messaging"
MOBILE ENTERPRISE,"News, Search and Messaging"
MOBILE GAMES,Entertainment
MOBILE HEALTH,Health
MOBILE INFRASTRUCTURE,Manufacturing
MOBILE PAYMENTS,"Social, Finance, Analytics, Advertising"
MOBILE SECURITY,Others
MOBILE SHOPPING,"Social, Finance, Analytics, Advertising"
MOBILE SOCIAL,"News, Search and Messaging"
MOBILE SOFTWARE TOOLS,Manufacturing
MOBILE VIDEO,Entertainment
MOBILITY,Others
MONETIZATION,"Social, Finance, Analytics, Advertising"
MONEYMAKING,"Social, Finance, Analytics, Advertising"
MULTI-LEVEL MARKETING,"Social, Finance, Analytics, Advertising"
MUSIC,Entertainment
MUSIC EDUCATION,Entertainment
MUSIC SERVICES,Entertainment
MUSIC VENUES,Entertainment
MUSICAL INSTRUMENTS,Entertainment
MUSICIANS,Entertainment
NANOTECHNOLOGY,Cleantech / Semiconductors
NATURAL LANGUAGE PROCESSING,Cleantech / Semiconductors
NATURAL RESOURCES,Cleantech / Semiconductors
NAVIGATION,"News, Search and Messaging"
NETWORK SECURITY,Others
NETWORKING,Others
NEUROSCIENCE,Health
NEW PRODUCT DEVELOPMENT,Manufacturing
NEW TECHNOLOGIES,Manufacturing
NEWS,"News, Search and Messaging"
NON-TECH,Others
NON PROFIT,Others
NONPROFITS,Others
NUTRITION,Health
OFFICE SPACE,Others
OIL,Others
OIL & GAS,Others
OIL AND GAS,Others
ONLINE DATING,"News, Search and Messaging"
ONLINE EDUCATION,Others
ONLINE GAMING,Entertainment
ONLINE IDENTITY,Others
ONLINE RENTAL,"News, Search and Messaging"
ONLINE RESERVATIONS,"News, Search and Messaging"
ONLINE SCHEDULING,"News, Search and Messaging"
ONLINE SHOPPING,"News, Search and Messaging"
ONLINE TRAVEL,"News, Search and Messaging"
ONLINE VIDEO ADVERTISING,Entertainment
OPEN SOURCE,Others
OPINIONS,Others
OPTICAL COMMUNICATIONS,Manufacturing
OPTIMIZATION,Others
ORGANIC,Health
ORGANIC FOOD,Health
OUTDOORS,Health
OUTSOURCING,Others
P2P MONEY TRANSFER,"Social, Finance, Analytics, Advertising"
PAAS,"Social, Finance, Analytics, Advertising"
PARENTING,Others
PARKING,Others
PAYMENTS,"Social, Finance, Analytics, Advertising"
PEER-TO-PEER,"News, Search and Messaging"
PERFORMANCE MARKETING,"Social, Finance, Analytics, Advertising"
PERSONAL BRANDING,"Social, Finance, Analytics, Advertising"
PERSONAL DATA,Others
PERSONAL FINANCE,"Social, Finance, Analytics, Advertising"
PERSONAL HEALTH,Health
PERSONALIZATION,Others
PERVASIVE COMPUTING,Others
PETS,Health
PHARMACEUTICALS,Health
PHOTO EDITING,Entertainment
PHOTO SHARING,Entertainment
PHOTOGRAPHY,Entertainment
PHYSICAL SECURITY,Others
PHYSICIANS,Health
PLUMBERS,Others
POINT OF SALE,Others
POLITICS,Others
POLLING,Others
PORTALS,Others
POSTAL AND COURIER SERVICES,Others
PRE SEED,"Social, Finance, Analytics, Advertising"
PREDICTIVE ANALYTICS,"Social, Finance, Analytics, Advertising"
PRESENTATIONS,Others
PRICE COMPARISON,"Social, Finance, Analytics, Advertising"
PRINTING,Others
PRIVACY,Others
PRIVATE SCHOOL,Others
PRIVATE SOCIAL NETWORKING,"News, Search and Messaging"
PROCUREMENT,Others
PRODUCT DESIGN,Others
PRODUCT DEVELOPMENT SERVICES,Others
PRODUCTIVITY,Others
PRODUCTIVITY SOFTWARE,Others
PROFESSIONAL NETWORKING,"News, Search and Messaging"
PROFESSIONAL SERVICES,Others
PROJECT MANAGEMENT,Others
PROMOTIONAL,"Social, Finance, Analytics, Advertising"
PROPERTY MANAGEMENT,"Social, Finance, Analytics, Advertising"
PUBLIC RELATIONS,"Social, Finance, Analytics, Advertising"
PUBLIC SAFETY,Health
PUBLIC TRANSPORTATION,Health
PUBLISHING,"News, Search and Messaging"
Q&A,"News, Search and Messaging"
QR CODES,Others
REAL ESTATE,Others
REAL TIME,Others
REALTORS,Others
RECREATION,Others
RECRUITING,"News, Search and Messaging"
RECYCLING,Cleantech / Semiconductors
RELIGION,Others
RENEWABLE ENERGIES,Cleantech / Semiconductors
RENEWABLE TECH,Cleantech / Semiconductors
RENTAL HOUSING,Others
REPUTATION,Others
RESORTS,Entertainment
RESTAURANTS,Entertainment
RETAIL,"Social, Finance, Analytics, Advertising"
RETAIL TECHNOLOGY,"Social, Finance, Analytics, Advertising"
REVIEWS AND RECOMMENDATIONS,Entertainment
RFID,Others
RIDE SHARING,"News, Search and Messaging"
RISK MANAGEMENT,"Social, Finance, Analytics, Advertising"
ROBOTICS,Others
SAAS,Others
SALES AND MARKETING,"Social, Finance, Analytics, Advertising"
SALES AUTOMATION,Others
SEARCH,"News, Search and Messaging"
SEARCH MARKETING,"News, Search and Messaging"
SECURITY,Others
SEMICONDUCTOR MANUFACTURING EQUIPMENT,Cleantech / Semiconductors
SEMICONDUCTORS,Cleantech / Semiconductors
SENIOR CITIZENS,Health
SENIOR HEALTH,Health
SENSORS,Others
SEO,"News, Search and Messaging"
SERVICE INDUSTRIES,Others
SERVICE PROVIDERS,Others
SERVICES,Others
SEXTECH,Health
SHARED SERVICES,Others
SHIPPING,Others
SHOES,Entertainment
SHOPPING,Entertainment
SIMULATION,Others
SKILL ASSESSMENT,Others
SMALL AND MEDIUM BUSINESSES,Others
SMART GRID,Others
SNS,Others
SOCCER,Automotive & Sports
SOCIAL + MOBILE + LOCAL,"Social, Finance, Analytics, Advertising"
SOCIAL BOOKMARKING,"Social, Finance, Analytics, Advertising"
SOCIAL BUSINESS,"Social, Finance, Analytics, Advertising"
SOCIAL BUYING,"Social, Finance, Analytics, Advertising"
SOCIAL COMMERCE,"Social, Finance, Analytics, Advertising"
SOCIAL CRM,"Social, Finance, Analytics, Advertising"
SOCIAL FUNDRAISING,"Social, Finance, Analytics, Advertising"
SOCIAL GAMES,"Social, Finance, Analytics, Advertising"
SOCIAL MEDIA ADVERTISING,"Social, Finance, Analytics, Advertising"
SOCIAL MEDIA,"Social, Finance, Analytics, Advertising"
SOCIAL MEDIA MANAGEMENT,"Social, Finance, Analytics, Advertising"
SOCIAL MEDIA MARKETING,"Social, Finance, Analytics, Advertising"
SOCIAL MEDIA PLATFORMS,"Social, Finance, Analytics, Advertising"
SOCIAL NETWORK MEDIA,"Social, Finance, Analytics, Advertising"
SOCIAL NEWS,"Social, Finance, Analytics, Advertising"
SOCIAL RECRUITING,"Social, Finance, Analytics, Advertising"
SOCIAL TELEVISION,"Social, Finance, Analytics, Advertising"
SOCIAL TRAVEL,"Social, Finance, Analytics, Advertising"
SOFTWARE,Others
SOLAR,Cleantech / Semiconductors
SPACE TRAVEL,Cleantech / Semiconductors
SPECIALTY CHEMICALS,Health
SPECIALTY FOODS,Health
SPEECH RECOGNITION,Health
SPORTING GOODS,Automotive & Sports
SPORTS,Automotive & Sports
STAFFING FIRMS,Others
STARTUPS,Others
STOCK EXCHANGES,"Social, Finance, Analytics, Advertising"
STORAGE,Manufacturing
SUBSCRIPTION SERVICE,Others
SUPPLY CHAIN MANAGEMENT,Others
SURVEYS,Others
SYNCHRONIZATION,Others
SYSTEMS,Others
TASK MANAGEMENT,Others
TAXIS,Others
TEA,Others
TECHNOLOGY,Others
TELECOMMUNICATIONS,Others
TELEVISION,Entertainment
TEXTILES,Others
THEATRE,Entertainment
THERAPEUTICS,Health
TICKETING,Entertainment
TOURISM,Entertainment
TRACKING,Others
TRADING,Others
TRAINING,Others
TRANSLATION,Others
TRANSPORTATION,Automotive & Sports
TRAVEL,Entertainment
TRAVEL & TOURISM,Entertainment
UNIVERSITIES,Others
UNIVERSITY STUDENTS,Others
UNMANNED AIR SYSTEMS,Automotive & Sports
USABILITY,Others
USER EXPERIENCE DESIGN,Others
USER INTERFACE,Others
UTILITIES,Others
VENDING AND CONCESSIONS,Others
VENTURE CAPITAL,"Social, Finance, Analytics, Advertising"
VETERINARY,Health
VIDEO,Entertainment
VIDEO CONFERENCING,Entertainment
VIDEO GAMES,Entertainment
VIDEO ON DEMAND,Entertainment
VIDEO STREAMING,Entertainment
VIRTUAL WORKFORCES,Entertainment
VOIP,Entertainment
WASTE MANAGEMENT,Cleantech / Semiconductors
WATCH,Others
WATER,Cleantech / Semiconductors
WATER PURIFICATION,Cleantech / Semiconductors
WEARABLES,Cleantech / Semiconductors
WEB BROWSERS,"News, Search and Messaging"
WEB DESIGN,"News, Search and Messaging"
WEB DEVELOPMENT,Others
WEB HOSTING,Others
WEB TOOLS,Others
WEDDINGS,Entertainment
WHOLESALE,Others
WINE AND SPIRITS,Entertainment
WIRELESS,Entertainment
WOMEN,Others
YOUNG ADULTS,Others
