category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Consumer Lending,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Consumers,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Contact Centers,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Contact Ma0gement,0,0,0,0,0,0,0,0,1,Entertainment
Content,0,0,0,1,0,0,0,0,0,Entertainment
Content Creators,0,0,0,1,0,0,0,0,0,Entertainment
Content Delivery,0,0,0,1,0,0,0,0,0,Entertainment
Content Discovery,0,0,0,1,0,0,0,0,0,Entertainment
Content Syndication,0,0,0,1,0,0,0,0,0,Entertainment
Contests,0,0,0,1,0,0,0,0,0,Health
Cooking,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Corporate IT,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Corporate Training,0,0,0,0,0,0,0,0,1,Health
Corporate Wellness,0,0,0,0,1,0,0,0,0,Health
Cosmetic Surgery,0,0,0,0,1,0,0,0,0,Health
Cosmetics,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Coupons,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Coworking,0,0,0,0,0,0,0,0,1,Entertainment
Craft Beer,0,0,0,1,0,0,0,0,0,Entertainment
Creative,0,0,0,1,0,0,0,0,0,Entertainment
Creative Industries,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Credit,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Credit Cards,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
CRM,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Crowdfunding,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Crowdsourcing,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Curated Web,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Custom Retail,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Customer Service,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Customer Support Tools,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Cyber,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Cyber Security,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Center Automation,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Center Infrastructure,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Centers,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Integration,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Mining,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Privacy,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Security,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Data Visualization,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Databases,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Debt Collecting,0,0,0,0,0,0,0,0,1,Manufacturing
Defense,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Delivery,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Demographies,0,0,0,0,0,0,1,0,0,Health
Dental,0,0,0,0,1,0,0,0,0,Automotive & Sports
Design,1,0,0,0,0,0,0,0,0,Automotive & Sports
Designers,1,0,0,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Developer APIs,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Developer Tools,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Development Platforms,0,0,0,0,0,0,0,0,1,Health
Diabetes,0,0,0,0,1,0,0,0,0,Health
Diagnostics,0,0,0,0,1,0,0,0,0,Health
Dietary Supplements,0,0,0,0,1,0,0,0,0,Entertainment
Digital Entertainment,0,0,0,1,0,0,0,0,0,Entertainment
Digital Media,0,0,0,1,0,0,0,0,0,Entertainment
Digital Rights Ma0gement,0,0,0,1,0,0,0,0,0,Entertainment
Digital Sig0ge,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Direct Advertising,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Direct Marketing,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Direct Sales,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Discounts,0,0,0,0,0,0,0,0,1,Manufacturing
Displays,0,0,0,0,0,1,0,0,0,Cleantech / Semiconductors
Disruptive Models,0,0,1,0,0,0,0,0,0,Others
Distribution,0,0,0,0,0,0,0,1,0,Others
Distributors,0,0,0,0,0,0,0,1,0,Others
DIY,0,0,0,0,0,0,0,1,0,Health
Doctors,0,0,0,0,1,0,0,0,0,Others
Document Ma0gement,0,0,0,0,0,0,0,1,0,Manufacturing
DOD/Military,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Domains,0,0,0,0,0,0,1,0,0,Automotive & Sports
Drones,1,0,0,0,0,0,0,0,0,Entertainment
E-Books,0,0,0,1,0,0,0,0,0,Others
E-Commerce,0,0,0,0,0,0,0,1,0,Others
E-Commerce Platforms,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Early-Stage Technology,0,0,1,0,0,0,0,0,0,Entertainment
EBooks,0,0,0,1,0,0,0,0,0,Others
EDA Tools,0,0,0,0,0,0,0,1,0,Others
Ediscovery,0,0,0,0,0,0,0,1,0,Others
EdTech,0,0,0,0,0,0,0,1,0,Others
Education,0,0,0,0,0,0,0,1,0,Entertainment
Educatio0l Games,0,0,0,1,0,0,0,0,0,Entertainment
Edutainment,0,0,0,1,0,0,0,0,0,Health
Elder Care,0,0,0,0,1,0,0,0,0,Automotive & Sports
Electric Vehicles,1,0,0,0,0,0,0,0,0,Manufacturing
Electrical Distribution,0,0,0,0,0,1,0,0,0,Health
Electronic Health Records,0,0,0,0,1,0,0,0,0,Manufacturing
Electronics,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Email,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Email Marketing,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Email Newsletters,0,0,0,0,0,0,0,0,1,Manufacturing
Embedded Hardware and Software,0,0,0,0,0,1,0,0,0,Others
Emerging Markets,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Employer Benefits Programs,0,0,0,0,0,0,0,0,1,Others
Employment,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Energy,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Energy Efficiency,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Energy IT,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Energy Ma0gement,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Energy Storage,0,0,1,0,0,0,0,0,0,Others
Engineering Firms,0,0,0,0,0,0,0,1,0,Others
Enterprise 2.0,0,0,0,0,0,0,0,1,0,Others
Enterprise Application,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Enterprise Purchasing,0,0,0,0,0,0,0,0,1,Others
Enterprise Resource Planning,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Enterprise Search,0,0,0,0,0,0,1,0,0,Others
Enterprise Security,0,0,0,0,0,0,0,1,0,Others
Enterprise Software,0,0,0,0,0,0,0,1,0,Others
Enterprises,0,0,0,0,0,0,0,1,0,Entertainment
Entertainment,0,0,0,1,0,0,0,0,0,Entertainment
Entertainment Industry,0,0,0,1,0,0,0,0,0,Others
Entrepreneur,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Environmental Innovation,0,0,1,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Estimation and Quoting,0,0,0,0,0,0,0,0,1,Entertainment
Event Ma0gement,0,0,0,1,0,0,0,0,0,Entertainment
Events,0,0,0,1,0,0,0,0,0,Health
Exercise,0,0,0,0,1,0,0,0,0,Health
Eyewear,0,0,0,0,1,0,0,0,0,"Social, Finance, Analytics, Advertising"
Face Recognition,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Facebook Applications,0,0,0,0,0,0,0,0,1,Others
Families,0,0,0,0,0,0,0,1,0,Entertainment
Fantasy Sports,0,0,0,1,0,0,0,0,0,Manufacturing
Farmers Market,0,0,0,0,0,1,0,0,0,Manufacturing
Farming,0,0,0,0,0,1,0,0,0,Entertainment
Fashion,0,0,0,1,0,0,0,0,0,Cleantech / Semiconductors
Fertility,0,0,1,0,0,0,0,0,0,Others
Field Support Services,0,0,0,0,0,0,0,1,0,Others
File Sharing,0,0,0,0,0,0,0,1,0,Entertainment
Film,0,0,0,1,0,0,0,0,0,Entertainment
Film Distribution,0,0,0,1,0,0,0,0,0,Entertainment
Film Production,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Fi0nce,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
